                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0278,                 1.3107,                 1.5993,                0.73453,                0.25562,                0.24718,                0.15478,                 1.3906,                 2.4673,                 2.2215,             0.00055402,             0.00055402,             0.00055402
                      2,                 1.0912,                 1.0503,                  1.633,                0.78901,                0.36554,                0.34165,                0.19506,                 1.6589,                 1.7887,                 2.5616,              0.0010877,              0.0010877,              0.0010877
                      3,                 1.0668,                0.99873,                 1.6064,                0.38232,                0.39045,                 0.3889,                 0.2429,                 1.3554,                 1.2963,                 2.3803,              0.0015994,              0.0015994,              0.0015994
                      4,                 1.0235,                0.93213,                  1.576,                0.90218,                0.39326,                0.41344,                0.23376,                 1.5458,                  1.219,                 2.3665,               0.001568,               0.001568,               0.001568
                      5,                 0.9481,                0.83981,                 1.5039,                0.90453,                0.42849,                0.42313,                0.28157,                 1.2017,                0.98582,                 2.1287,               0.001568,               0.001568,               0.001568
                      6,                0.90468,                0.79273,                 1.4662,                0.36106,                0.42135,                0.41677,                0.27257,                 1.2491,                 1.1095,                 2.1641,               0.001535,               0.001535,               0.001535
                      7,                0.86279,                 0.7461,                 1.4334,                0.43419,                0.44944,                 0.4428,                0.32865,                0.97796,                 0.8731,                 1.7994,               0.001502,               0.001502,               0.001502
                      8,                0.83768,                0.71924,                 1.4113,                0.91327,                0.42416,                0.46546,                0.32089,                 1.0904,                0.94223,                 2.0033,               0.001469,               0.001469,               0.001469
                      9,                0.81188,                 0.6863,                 1.3954,                0.93428,                0.44545,                0.46169,                0.34507,                0.98589,                0.78347,                 1.8412,               0.001436,               0.001436,               0.001436
                     10,                0.78578,                0.65573,                 1.3683,                0.92616,                0.44663,                0.49206,                0.36569,                0.91938,                0.81274,                 1.7974,              0.0014029,              0.0014029,              0.0014029
                     11,                0.77344,                0.64478,                 1.3574,                0.92824,                 0.4526,                0.46789,                0.35545,                0.93763,                0.78237,                 1.7878,              0.0013699,              0.0013699,              0.0013699
                     12,                0.74117,                0.62133,                 1.3416,                0.93987,                0.45225,                0.45488,                0.35592,                0.92089,                0.73702,                  1.755,              0.0013369,              0.0013369,              0.0013369
